"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_error_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","AttackType"
"257530",0,0,0,0,0.00302,0.01168,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.081,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
"84222",0,0,0,0,0.00236,0.06061,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0,0,0,0.1,0,0,0.035,0.255,0.1,0,0.003,0.004,0,0,0,0,"Normal"
"80027",0,0,0,0,0.00298,0.00454,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0.036,0,0,0,0,0.1,0,0.008,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"245135",0,0,0,0,0.00309,0.02087,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"365133",0,0.01,0.02,0,0.00044,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0,0,0.1,0,0.067,0.255,0.254,0.1,0.001,0,0,0,0,0,0,"Normal"
"100141",0,0,0,0,0.00339,0.00958,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"334850",0,0,0,0,0.00227,0.01389,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.015,0.02,0,0,0,0,0.1,0,0.015,0.089,0.255,0.1,0,0.001,0.001,0,0,0,0,"Normal"
"178407",0,0,0,0,0.00223,0.00707,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0.1,0,0,0.242,0.255,0.1,0,0,0.002,0,0,0,0,"Normal"
"484873",0,0,0.14,0,0.00383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.064,0.07,0.028,0.006,0.028,0.003,0.002,0,0,0,"Normal"
"124600",0,0,0,0,0.00295,0.00835,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.026,0,0,0,0,0.1,0,0.015,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"347544",0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.1,0.1,0.1,0,0,0.001,0.255,0.1,0,0.1,0.017,0,0,0.1,0.076,"Normal"
"336587",0,0,0,0,0.00292,0.06542,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.007,0,0,0,0,0.1,0,0.029,0.031,0.255,0.1,0,0.003,0.004,0,0,0,0,"Normal"
"490015",0,0,0,0,0.00168,0.05426,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.014,0.255,0.1,0,0.007,0.004,0,0.001,0,0,"Normal"
"402738",0,0,0,0,0.00219,0.01769,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.039,0.041,0,0,0,0,0.1,0,0.007,0.255,0.255,0.1,0,0.001,0,0,0,0,0,"Normal"
"472886",0,0,0,0,0.00295,0.02015,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0,0,0,0,0.1,0,0.05,0.001,0.255,0.1,0,0.1,0.006,0,0,0,0,"Normal"
"420453",0,0,0,0,0.00208,0.01524,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.095,0.255,0.1,0,0.001,0.003,0.001,0,0,0,"Normal"
"418864",0,0,0,0,0.00293,0.00619,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.007,0.013,0.014,0.008,0,0,0.1,0,0.015,0.255,0.255,0.1,0,0,0,0.001,0.001,0,0,"Normal"
"8368",0,0,0,0,0.00308,0.0106,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.019,0.02,0,0,0,0,0.1,0,0.01,0.019,0.051,0.1,0,0.005,0.004,0,0,0,0,"Normal"
"361272",0,0,0.14,0,0.00425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.08,0.075,0.025,0.005,0.025,0.004,0,0,0,0,"Normal"
"504741",0,0,0,0,0.00298,0.00348,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.031,0.031,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"63132",0,0,0,0,0.00343,0.16123,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.023,0,0,0,0,0.1,0,0.017,0.079,0.255,0.1,0,0.001,0.003,0,0,0,0,"Normal"
"354253",0,0.01,0.02,0,0.00045,0.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.08,0.184,0.071,0.003,0.071,0.001,0,0,0.017,0,"Normal"
"188999",0,0,0,0,0.00212,0.02132,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.013,0.016,0,0,0,0,0.1,0,0.012,0.255,0.255,0.1,0,0.001,0,0,0,0,0,"Normal"
"288750",0,0,0,0,0.00281,0.02226,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.01,0,0,0,0,0.1,0,0.02,0.026,0.255,0.1,0,0.004,0.002,0,0,0,0,"Normal"
"265626",0,0,0,0,0.00238,0.00431,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0.1,0,0.1,0.032,0.135,0.1,0,0.003,0.001,0,0,0,0,"Normal"
"53125",0,0,0,0,0.00314,0.01043,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.033,0.033,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"28384",0,0,0,0,0.00482,0.09411,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"102566",0,0,0,0,0.00232,0.01898,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0,0,0,0,0.1,0,0.067,0.054,0.255,0.1,0,0.002,0.005,0,0,0,0,"Normal"
"243960",0,0,0,0,0.00245,0.03413,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"442455",0,0,0,0,0.00275,0.00313,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.015,0.03,0,0,0,0,0.1,0,0.017,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"485665",0,0,0,0,0.00235,0.0046,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0.017,0.017,0,0,0.1,0,0,0.006,0.016,0.1,0,0.017,0.019,0.017,0.006,0,0,"Normal"
"185057",0,0,0,0,0.00291,0.03097,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0,0,0,0.1,0,0,0.025,0.025,0.1,0,0.004,0,0,0,0,0,"Normal"
"522960",0,0.01,0.02,0,0.00042,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.017,0,0,0,0,0.1,0,0.012,0.255,0.242,0.095,0.001,0.001,0,0,0,0,0,"Normal"
"308846",0,0,0,0,0.00342,0.10714,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.029,0.119,0.1,0,0.003,0.008,0,0.001,0,0,"Normal"
"236908",0,0,0,0,0.00223,0.00979,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.017,0.051,0,0,0,0,0.1,0,0.01,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"151976",0,0,0,0,0.00245,0.00613,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.019,0.019,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"424865",0.0086,0,0,0,0.00211,0.00178,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.03,0.032,0,0,0,0,0.1,0,0.006,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"29657",0,0,0,0,0.00239,0.58239,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.061,0.255,0.1,0,0.002,0.004,0,0,0,0,"Normal"
"432681",0,0,0,0,0.00284,0.00447,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0,0,0,0,0.1,0,0.067,0.001,0.255,0.1,0,0.1,0.002,0,0,0,0,"Normal"
"33389",0,0,0,0,0.00241,0.00261,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.084,0.209,0.1,0,0.001,0.002,0,0,0,0,"Normal"
"574913",0,0.01,0.02,0,0.00036,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0,0,0,0,0.1,0,0.08,0.255,0.239,0.094,0.001,0,0,0,0,0,0,"Normal"
"201512",0,0,0,0,0.00288,0.03452,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.011,0.052,0,0,0,0,0.1,0,0.004,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"280978",0,0,0,0,0.00257,0.0579,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.046,0,0,0,0,0.1,0,0.004,0.078,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
"143600",0,0,0,0,0.00283,0.02531,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.005,0.014,0,0,0,0,0.1,0,0.014,0.086,0.086,0.1,0,0.001,0,0,0,0,0,"Normal"
"181635",0,0.01,0.02,0,4e-04,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.08,0.228,0.1,0,0.1,0.001,0,0,0,0,"Normal"
"406595",0.0103,0,0,0,0.00262,0.00285,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.255,0.246,0.096,0.001,0,0,0,0,0,0,"Normal"
"460050",0,0,0,0,0.00229,0.03433,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0,0,0,0.1,0,0,0.056,0.255,0.1,0,0.002,0.006,0,0,0,0,"Normal"
"292135",0,0,0,0,0.00194,0.15378,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0,0,0,0,0.1,0,0.067,0.013,0.255,0.1,0,0.008,0.003,0,0,0,0,"Normal"
"520429",0,0,0,0,0.00192,0.00762,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.02,0,0,0,0,0.1,0,0.015,0.116,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
"332247",0,0,0,0,0.00251,0.04137,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.005,0.007,0,0,0,0,0.1,0,0.043,0.139,0.255,0.1,0,0.001,0.001,0,0,0,0,"Normal"
"397953",3e-04,0,0.01,0,0.00673,0.0033,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0,0,0.1,0,0.1,0.127,0.114,0.044,0.004,0.001,0.002,0.001,0,0,0,"Normal"
"481136",0,0.01,0.02,0,0.00045,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0.117,0,0,0,0,0.1,0,0,0.255,0.203,0.08,0.001,0,0,0,0,0,0,"Normal"
"374669",0,0,0,0,0.00336,0.00276,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.1,0.087,0.087,0.003,0.001,0,0,0,0,0,"Normal"
"363179",0,0,0,0,0.00302,0.0138,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.255,0.233,0.091,0.002,0,0,0,0,0,0,"Normal"
"511363",0,0,0,0,0.00211,0.02729,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0,0,0,0.1,0,0,0.023,0.255,0.1,0,0.004,0.004,0,0.001,0,0,"Normal"
"315618",0,0,0,0,0.00197,0.07506,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.002,0.255,0.1,0,0.05,0.004,0,0,0,0,"Normal"
"427318",0,0,0,0,0.00213,0.18265,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0.1,0,0,0.099,0.255,0.1,0,0.001,0.001,0,0,0,0,"Normal"
"407449",0,0.01,0.08,0,0.00048,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.171,0.048,0.028,0.002,0.028,0,0,0,0,0,"Normal"
"106454",0,0,0,0,0.0024,0.04017,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.1,0,0,0.046,0.255,0.1,0,0.002,0.002,0,0,0,0,"Normal"
"202296",0,0,0,0,0.00218,0.0697,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0.1,0,0,0.03,0.255,0.1,0,0.003,0.006,0,0,0,0,"Normal"
"297774",0.0035,0,0,0,0.00312,0.03768,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.1,0,0,0.092,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
"339062",0,0,0.01,0,0.00702,0.00333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.107,0.072,0.067,0.003,0.001,0,0,0,0,0,"Normal"
"505364",0,0,0,0,0.00332,0.01908,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"93956",0,0,0,0,0.00258,0.032,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.021,0,0,0,0,0.1,0,0.014,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"197018",0,0,0,0,0.00339,0.01405,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.028,0.036,0,0,0,0,0.1,0,0.006,0.061,0.255,0.1,0,0.002,0.004,0,0,0,0,"Normal"
"22117",0,0,0,0,0.00357,0.12922,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"177838",0,0,0,0,0.00331,0.02072,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.012,0.012,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"402169",0,0,0,0,0.00208,0.01964,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.035,0.036,0,0,0,0,0.1,0,0.006,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"322221",0,0,0,0,0.00395,0.00215,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.007,0.019,0,0,0,0,0.1,0,0.016,0.066,0.255,0.1,0,0.002,0.004,0,0,0,0,"Normal"
"15613",0,0,0,0,0.00234,0.00382,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.009,0,0,0,0,0.1,0,0.022,0.074,0.255,0.1,0,0.001,0.004,0,0,0,0,"Normal"
"133848",0,0,0,0,0.00199,0.00597,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.012,0.014,0,0,0,0,0.1,0,0.014,0.05,0.255,0.1,0,0.002,0.003,0,0,0,0,"Normal"
"141164",0,0,0,0,0.00319,0.03192,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.006,0.009,0,0,0,0,0.1,0,0.033,0.006,0.255,0.1,0,0.017,0.007,0,0,0,0,"Normal"
"41099",0,0,0,0,0.00213,0.04407,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.006,0.007,0,0,0,0,0.1,0,0.029,0.057,0.089,0.1,0,0.002,0.002,0,0,0,0,"Normal"
"183530",0,0.01,0.02,0,0.00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0,0,0,0,0.1,0,0.083,0.098,0.008,0.008,0.006,0.008,0,0,0,0,0,"Normal"
"255584",0,0,0,0,0.00226,0.00346,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0,0,0,0,0.1,0,0.043,0.006,0.255,0.1,0,0.017,0.004,0,0,0,0,"Normal"
"421228",0,0,0,0,0.00253,0.00461,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0,0,0,0,0.1,0,0.04,0.001,0.255,0.1,0,0.1,0.007,0,0,0,0,"Normal"
"464546",0,0,0,0,0.00402,0.14411,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"124356",0,0,0,0,0.00298,0.00498,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.021,0.022,0,0,0,0,0.1,0,0.009,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"24134",0,0,0,0,0.00318,0.0037,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"247879",0,0,0,0,0.00326,0.10384,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.013,0.013,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"203832",0,0,0,0,0.00226,0.0087,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.018,0.018,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"506532",0,0,0,0,0.00237,0.15255,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.008,0,0,0,0,0.1,0,0.025,0.012,0.255,0.1,0,0.008,0.004,0,0,0,0,"Normal"
"432129",0,0,0,0,0.00278,0.0235,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0,0,0.1,0,0.075,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"234301",0,0,0,0,0.00204,0.01193,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.035,0.055,0,0,0,0,0.1,0,0.009,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"490558",0,0,0,0,0.00228,0.00609,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.016,0,0,0,0,0.1,0,0.031,0.031,0.255,0.1,0,0.003,0.001,0,0,0,0,"Normal"
"403706",0,0,0.01,0,0.0417,0.00392,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.138,0.176,0.054,0.003,0.001,0.001,0.001,0,0.004,0,"Normal"
"334395",0,0,0,0,0.00384,0.02433,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0.015,0,0,0,0,0.1,0,0.02,0.047,0.255,0.1,0,0.002,0.006,0,0,0,0,"Normal"
"30496",0,0,0,0,0.00249,0.01029,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.013,0.014,0,0,0,0,0.1,0,0.014,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"523706",0,0.01,0.08,0,0.00048,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0,0.033,0.067,0,0.255,0.126,0.049,0.001,0.049,0,0,0,0,0,"Normal"
"412596",0,0,0,0,0.00324,0.02202,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.032,0.255,0.1,0,0.003,0.003,0,0,0,0,"Normal"
"451311",0,0,0.14,0,0.00245,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.1,0,0,0.015,0.042,0.013,0.02,0.013,0.005,0,0,0,0,"Normal"
"97270",0,0,0,0,0.002,0.00597,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0.1,0,0,0.139,0.255,0.1,0,0.001,0.003,0,0,0,0,"Normal"
"423769",0,0,0,0,0.00343,0.02489,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.013,0.255,0.1,0,0.008,0.002,0,0,0,0,"Normal"
"429113",0,0,0,0,0.00223,0.00295,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"498755",0,0,0,0,0.00319,0.1141,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0.1,0,0,0.104,0.255,0.1,0,0.001,0.004,0,0,0.001,0,"Normal"
"312777",0,0,0,0,0.00253,0.01551,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.012,0.013,0,0,0,0,0.1,0,0.015,0.031,0.255,0.1,0,0.003,0.003,0,0,0,0,"Normal"
"160710",0,0,0,0,0.00224,0.1703,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.001,0.255,0.1,0,0.1,0.004,0,0,0,0,"Normal"
"26112",0,0,0,0,0.00318,0.01448,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.018,0.255,0.1,0,0.006,0.002,0,0,0,0,"Normal"
"4647",0,0,0,0,0.00303,0.00784,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.007,0.011,0,0,0,0,0.1,0,0.027,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"435283",0,0,0,0,0.00306,0.01066,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"425295",0,0,0,0,0.00335,0.06356,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"62557",0,0,0,0,0.00218,0.01364,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.015,0.015,0.1,0,0.007,0,0,0,0,0,"Normal"
"418208",0,0,0,0,0.0022,0.00458,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.016,0,0,0,0,0.1,0,0.031,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"172842",0,0,0.03,0,1e-04,0.00038,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.102,0.004,0.004,0.005,0.001,0,0,0,0,0,"Normal"
